title,desc
程序员新人禁忌：你是打工的，不是当学生的,"蕞近公司新来了一个网工实習生，真的差到离谱啊，上头让我带简直是在给我添堵...现在真实感受到了为什么计算机行业的老人不愿意带新人了！
问题不是我不想带，是真的差的离谱带不动...
先不说工作能力差，就连一些基本的职场禁忌、职场文化方面的东西都不懂，每天从里到外透着一副学生气，看了就头疼
今天实在受不了了，来这里吐槽一下，顺便把我就业五年的工作经验分享出来，有需要的直接用吧
-
新手职场注意
不管在哪里，勤勉好学的永远进步蕞快，虽然我不提倡加班内卷，但任务做不完还准点下班就说不过去了，要是在公司加班还能偶尔问问同事问题，也不亏
.
不要光想不做，做了之后才能知道往哪方面努力，有问题卡住时，先尝试自己花时间解决，解决不了问别人时，可以先说明我在做什么，做到哪一步为什么卡住，我做了什么尝试，而不是直接一句话问别人怎么做
.
公司是创造价值的地方，不会像学校那样等着你把所有东西学会。你可以在工作中持续学習，来增进自己的一些技术，但是前提是完成工作，这也能给你带来大量的实战经验，这也是之后和其他人拉开差距的地方
-
新人必.备的提升工具
📝工具类
·Webstorm
前端开发ide，什么都好就是内存大
·postm.an
接口调试工具
·Fork
可视化git代码提交工具
·Transmit
文件ftp传输工具，搭配Terminals使用效果更佳
.
📝软件类
·Pdf professional sulte
pdf阅读器
·Hacker rank
在线编程平台，参赛，测试自己
·Tencent lemon
免费垃圾清理工具
·m.aczip
解压缩工具
·FSCapture
📝网站类
·Github
开fa者都会在上面找各种各样的开源项目来学習，可以十分简单便捷地找到海量的开源代码
·菜鸟教程
编程技术基础教程，提供大量在线实例，是编程基础知识查漏补缺的shou选
·LeeCode
知名刷题网站，有许多编程面试题目，很多国内外的程序员在上面刷题
-
篇幅有限...今天就先给大家分享到这里，蕞后给大家来点提升工作技能的工具
黑舟快马班：我之前备考网络工程师时就跟的这个，软考这块做得算是蕞好的了，把老师讲解侧重点和各种答题技巧学透彻，好好跟下来拿下小绿本基本没啥问题。
Stack Overflow:与程序相关的IT技术问答网站，大多数的编程问题都可以在这里找到答案
Codecademy：对小白特别友好，还有community可以进行讨论学習"
程序员👩‍💻同事全男的啊啊啊无聊死了,
程序员的悲哀是什么,第一条真的是太感同身受了
国内字节跳动 vs. 美国Meta程序员,"🤔国内Top大厂之一🇨🇳字节跳动 vs.美国硅谷大厂🇺🇸Meta，中美两个代表性大厂的程序员，谁的薪资待遇更好？
	
💰薪资结构：
🇨🇳字节：薪资结构为平均月薪+年终奖（约为3个月工资），字节给应届生的薪资比其他同等大厂会高20%-30%；职级到2-2开始拿股票激励。
	
🇺🇸Meta：新入职的所有员工会拿到一个package, 主要分为基础工资+签字费（Sign-on)+RSU股票这3部分。其中签字费将按月给, RSU Vesting分4年，每年25%的比例来给。
	
📒考评制度：
🇨🇳字节：字节跳动内部的绩效考核一共有八级，从低到高为 F、I、M-、M、M+、E、E+、O，并会进行强制分布，对应年终奖和月薪百分比的涨薪。达到M就有涨薪机会。每年两次考核，一般在三月和九月。
	
🇺🇸Meta：公司没有统一指标，但是有隐性的绩效考评，淘汰率约为15%。
	
❤️福利待遇：
🇨🇳字节：五险一金（养老保险/Medical保险/失业保险/工伤保险/生育保险+住房公积金），距离公司步行30分钟/骑车20分钟以内可获每月1500的租房补贴；入职即送年假7天，带薪病假8天；工作实行大小周，大周周日上班，1.2倍工资；免费三餐/下午茶/健身房/娱乐室。每逢节假日有礼物。
	
🇺🇸Meta：保险牙科眼科等全包，21天的带薪休假，无限期的病假，4个月的产假/陪产假，免费的三餐和健身房；每年100%的401 match（至多$10,250） ；搬家安迁费7000刀。
	
除了以上信息，欢迎小伙伴们交流补充！"
程序员们，说出你们最喜欢的软件或工具,我先来，Alfred。[偷笑R][偷笑R]
入职字节一周VS入职字节一年,入职字节一年，朋友都说班味很重
一个软件有几千万甚至上亿字节，程序员是…,"首先问大家一个问题：有编程经验的你，觉得编写一个软件，真的可以依靠程序员超强的记忆，记住几百、上千万字节，然后就能最终编写出一个功能完整的软件产品吗？
	
不会有小伙伴真的这样认为吧？很难想象，那得背到什么时候？就算被熟了，面对灵活多变的软件需求，该怎么灵活应对呢？
	
我认为，一个软件产品的完成，靠背肯定是不行的，熟练掌握、理解一门开发语言的语法知识，然后多做项目多实践才是正道！
	
在这里我深度总结了以下八点，认为可以极大的降低编写复杂软件系统的难度和门槛的窍门，与你分享。
	
[一R]模块化编程： 大型软件通常分成许多模块或组件，每个模块都负责特定的功能。程序员只需要关注自己当前工作的模块，而不是整个代码库。
[二R]注释和文档： 程序员会添加注释和文档，以解释代码的作用、算法的原理以及如何使用不同的函数和类。这些注释和文档有助于程序员理解和记忆代码的工作原理。
[三R]版本控制系统： 使用版本控制系统（如Git）来跟踪代码库的变化，允许程序员在不同版本之间切换，查看历史修改记录，协作开发，并恢复以前的代码状态。
[四R]代码搜索工具： 程序员可以使用强大的代码搜索工具，如grep、IDE内置搜索等，来快速查找特定功能或变量的引用，而不必手动记住每个细节。
[五R]集成开发环境（IDE）： IDE 提供了许多功能，包括代码自动完成、错误检查、调试等，有助于提高生产力并减轻记忆负担。
[六R]命名规范： 使用一致的命名规范和有意义的变量名、函数名可以使代码更易于理解，不需要记住各种随机的名称。
[七R]代码重构： 随着时间的推移，代码可能会变得复杂或难以维护。程序员可以进行代码重构，以提高代码的可读性和可维护性。
[八R]代码复用： 程序员可以使用库、框架和模块化的代码，而不必每次都重新编写相同的功能。
	
OK，接下来向大家分享三则，我们可爱的知友关于这个问题的精彩答复（见图部分），一个比一个精彩，一定看到最后哦。"
在线蹲一个懂哥,"在这个大喜的日子
本薯有个疑惑已久的问题
为什么程序员的编程界面都是黑色？
	
评论区揪五位程序员薯仔送出小礼薯队长公仔～"
程序员为什么不能一次性写好，需要一直改,
下班日常,[老虎R]落魄程序员在线下班
程序员入职前后对比,"做了码农，再也没有想打扮的心思
只求测试姐妹别找我"
29岁大厂程序员被裁员后来瑞典卖卤味（一）,"我，互联网7年老兵，熟悉前端后端到运维各种技术栈，能开发，能设计能架构。在公司和领导同事也相处非常融洽，然而还是免不了突然被裁员的命运。由于整条业务线被砍，我上午还在修复紧急bug，下午就收到了N+1礼包。
当时我听到消息犹如晴天霹雳，整个世界都变得灰暗了起来。虽然之前也有听说一些朋友被裁员，但是怎么也想不到这事会发生在我身上。
在休息了一个月后，我开始疯狂投简历。然而基本都石沉大海，杳无音讯。这个时候，我朋友点醒了我，你这么喜欢做饭，为什么不试试创业做餐饮呢？
所谓一语惊醒梦中人，我确实非常热爱做饭，并且一直有一个拥有自己饭店的梦想。但是国内餐饮已经非常的卷，然而这时刚好刷到小红书瑞典有人在出售餐馆，于是我就萌生了去瑞典开卤味店的想法。。。
后续故事，请持续关注我了解。"
码农二代[蹲后续H],码农二代[蹲后续H]
工资比我高却写出这样的屎代码,大神来了，新来3年开发工程师，定薪15000，今天review代码，大跌眼镜，没有想到他写出这样的代码，到处使用if else return，一个简单的需求，愣是写了5小时，中间还百度，服了！
程序员ootd｜背上书包就下班,"一天只有下班和喝奶茶的时候是快乐的
	
jk yyds"
程序员们，公司离了你根本转不了！,你们就是公司顶梁柱！
程序员真的很辛苦吗，我朋友天天说累死了累死了，但从我的视角看就是每天坐一天搞搞任务开个会下班。,程序员真的很辛苦吗，我朋友天天说累死了累死了，但从我的视角看就是每天坐一天搞搞任务开个会下班。
10月24日是一个节日...,"程序员节
1024程序员节（1024 Programmer's Day）是广大程序员的共同节日。1024是2的十次方，二进制计数的基本计量单位之一。针对程序员经常周末加班与工作日熬夜的情况，部分互联网机构倡议每年的10月24日为1024程序员节，在这一天建议程序员拒绝加班。在这个特别的日子里，许多科技公司、编程社区和程序员们都会举办各种活动，比如技术分享、编程竞赛、聚会庆祝等，以此来表达对程序员们的敬意和祝福。
程序员就像是一个个1024，以最低调、踏实、核心的功能模块搭建起这个科技世界。1G=1024M，而1G与1级谐音，也有一级棒的意思。内容来自于网络侵删"
请攻击程序员最薄弱的地方（不是,加班前健康度确认
程序员 二次元 母单 感觉我的buff叠满了[哭惹R][哭惹R][哭惹R],程序员 二次元 母单 感觉我的buff叠满了[哭惹R][哭惹R][哭惹R]
中科院｜毕业去当男模会有市场吗🤵,"“到时候你来上海🏙️我白天当程序员敲代码🧑‍💻十二点下班半夜转场当男模🤵，早上回来给你带一份小杨生煎，你在外边养个小白脸，我干不了两年就噶了👻你俩直接幸福一辈子就完了👩‍❤️‍💋‍👨”
	
有一说一，程序员一天到晚累死累活的也赚不了几个钱[叹气R]真不如去当模子哥（但是有人会点我吗[满月R]）哈哈哈哈哈开玩笑😝我的offer什么时候跟我谈薪啊[哭惹R]不会给我开个烂白菜价吧[哭惹R]秋招人的焦虑真是不签完三方就一直存在啊😖
	
北京的秋天还是挺美的，昨天去了玉渊潭公园，已经有挺多银杏叶黄了🍂，枫叶也红了不少🍁"
命🆘我好像发现了在香港找高薪工作的密码,"随着香港积极引进人才，大批名校毕业生、名企职场人通过多种途径获批签证，准备赴港工作甚至定居。今天就为大家盘点一下香港超百万的高薪行业：
1⃣ 金融行业相关
数据架构师年薪：90万-100万港币
程序员年薪：20万-72万港币
在分析师的蕞低级别职位中：证据研究年薪可达48万港币；投资组合管理年薪可达55万港币
	
2⃣地产行业
房地产开发/管理类年薪大概在30万-40万港币。香港地产巨头云集，每年都需要招聘大量人才，比如太古集团 (Swire）、新鸿基地产（SHKP）、恒隆集团等企业都是历年校招的常客。
	
3⃣法律行业
Assistant （法律助理） / Paralegal（助理律师）年薪在 25万-50万港币。
企业法律顾问年薪最低可以达到70万。
	
4⃣医疗行业
公立🏥护士年薪可达 30万以上
公立🏥医生年薪可达70万以上
	
5⃣工程师
工作十年的士木工程师，年薪百万以上也是很常见
	
6⃣建筑行业
起薪6万左右，资深建筑设计师能达到年薪百万。
	
🌟以下是香港常用的几大求职平台，可以收藏备用哦
📍Jobsdb
香港no.1求职网站，亚太地区最大的人才招聘网站，企业大至各国上市名企，找到工作的概率蕞高。
	
📍Indeed
这个app有很多筛选功能，可以搜索特定地点周围几公里的工作。也可以根据自身的学历来筛选工作，能省事的找到适合自己的工作。
	
📍Linkedin
可以在这找心仪公司，还能让学长学姐帮你内推应届生。可直接搜索 graduate 等关键词，可以更迅速的找到校招的岗位。
	
📍JiJis
专门为应届生打造的一站式求职平台，因此上面也有大量的针对应届生的岗位。
	
🌟在香港工作的优势
1⃣工作机会比内地多
香港其实已经流失一大部分精英了，正是因为如此优才/高才来港其实还是比较好找工作的。
2️⃣大部分情况确实是到点下班
内地工作很多都是强制性加班，996是常事。但是香港这边却不会。
3️⃣很适合有事业心的女生
在香港没有年龄/婚育焦虑，也没有性别歧视。相比这些大部分香港公司更看重的个人能力
4️⃣边界感比较明确
	
以上就是为大家整理的求职指南，不管是通过何种方式拿到香港身份，如果未来有赴港工作、生活的打算，都同样适用哦！"
华为没有帅哥只有秃头男么,认识朋友在华为 我让帮忙给我介绍对象 说华为只有秃头程序员 xswl哈哈哈哈
程序员才能秒懂的梗，笑抽了哈哈哈,"我这辈子最讨厌两种人，
	
第一种是不写注释的，
	
第二种事指责我不写注释的。"
经常写代码的都知道，徐峥这里有好几个bug,"bug1：图1说主角说是擅长java，然后图二代码是确是python。一般不会有人拿py写后端，而且基本不会用txt文件来存数据，都是用json的。
	
bug2：手下写的代码删掉了，他说推他身上，他重新写。事实上现在代码仓库都是能回滚的，都能找回来，不可能需要重写。
	
bug3：程序员面试都线上。而且这还是口罩期间，这种一群人线下面试根本不可能发生。
	
最后：主角一天送14小时外卖，晚上回去还开发小程序，前后端都自己搞。我只能说：人才，公司开他是公司的损失，他随便找个外包1W5很轻松。"
论计算机系大学生的精神状态,写代码哪有不疯的 [哭惹R]
程序员节🍻,一脸班味
大龄程序员润到日本工作生活了快两年了，如果大家对这边有什么问题，尽管来问。,大龄程序员润到日本工作生活了快两年了，如果大家对这边有什么问题，尽管来问。
编程语言，你学到了第几层？,
我的bug改完了，你们呢,
马斯克的AI团队，中国人干活，印度人站C位,这张合照有内涵，也算是美国职场文化的缩影，中国人和印度人都是IT主力，中国人干活，但围在老板身边的总是印度人。所以很多印度人作了CEO，中国人还是作牛马。
INTJ，天选程序员,"果不其然，在我厂程序员 MBTI 调研里，占比最高的是 INTJ [派对R]
	
占比最少的也很有意思，是对 INTJ 直接取反，得到的“社交悍匪”ESFP [偷笑R]"
38岁985本一线码农现状，真实到令人唏嘘,"今天想聊聊身边一位85后资深码农，涉及到隐私就不透露他和我的关系。
	
[私信R]背景：38岁，05年浙江省高考全省2000名+，数学接近满分。浙大本，计算机专业。已婚2娃，性格内向甚至社恐。
	
[一R]从游戏行业高光期创业到打工被裁，15年一晃而过：
09-11年：毕业后进入游戏行业做开发。
11-12年：和几个浙大校友租了个一居室创业做网游，后放弃。彼时互联网行业创业热情高涨，投资人普遍乐观，游戏行业也正值蓬勃上升期，同时期他的上届学长创业成功，创立了无端科技。
12年至今：一直做一线码农，且一直在游戏行业（休闲竞技类、棋牌类），最近部门正在找项目组成员谈话，恐怕要面临裁员。
	
[二R]关于「性格」，也许是他觉得最遗憾的部分：
他提到：性格改变命运，对任何行业都适用。随着年龄增长他对此更是深信不疑。
	
他的同龄人里一线码农确实已经不多，大都已晋升为带项目的技术管理岗。他总结说这些人普遍“自信和自律”。他说道：足够的自信，就能说服别人；其实领导和被领导某种程度就是比较谁更强势，自信的人更容易成为领导人的角色。
	
我猜测也许这些年，他感受到了许多被上级硬塞的不合理需求，而不善言辞的他也许没等开口就被否决，压抑的感受逐渐地积累。也许他也曾经羡慕过那些自信到可以在职场游刃有余的人吧。
	
[三R]关于创业，风口+团队+资金缺一不可：
他说到，结合国家计划和政策顺应这个大方向去判断风口，在此基础上要有志同道合的人，顺利度过艰苦期还是可以考虑创业的。此外，要顺利”过冬”，充足的资金储备也必不可少。另外需要考量的是，现在行业long*断大环境下对创业型小团队非常不友好。
	
[四R]写给那些年轻的码农们：
优先专注在某一个技术，深入研究，技术是一通百通的。一个优良的程序员，最重要的是学习欲望和谨慎严谨的品质。
	
[五R]曾经意气风发的创业青年，现在眼里还有光吗？
高考超重点60多分进入人人艳羡的985本，20来岁一头扎进创业项目。我相信彼时的他，也有过对梦想的憧憬和斗志吧。
	
而此刻，不多的交流中，“我这个人属于没什么斗志”、“我的格局太低了，会给年轻人带沟里，找一些成功的人要建议比较好”的表述，让我隐隐感受到他对自己的不认可和对职业发展的失意。
	
也许这就是普通人的15年吧，没有抓马逆袭的故事；有过梦想和希望，最终回归平静。我们终究只是时代的一粒沙。"
这一刻，程序员的年龄危机被具像化了,以前我只觉得危言耸听，为什么程序员的年龄限制的这么死，35岁想当牛马都不让当了吗[汗颜R]
如何识别程序员（测试第一反应，仅供娱乐）,"string是不是字符串
thread是不是线程
exit是出口还是退出
if…else…算不算正确语法
class是不是类
1!=1，true or false？
参考文献：如图 @水果宾治武士G  @胖仔子 @是陌霖鸭"
程序员梗图|万物皆可C++，哪用学其他,"·
高端的程序员
往往采用最朴素的编程方式
Ctrl C+Ctrl V
·"
身边经验学，程序员脾气普遍好或许是因为他们知道发脾气解决不了问题，冷冰冰的代码冷冰冰的报错。我气到摔鼠标砸键盘扇自己都有，然后冷静下来继续写hhhh 但是很少真的出现能力范围外的问题，最终困难都能解决。,身边经验学，程序员脾气普遍好或许是因为他们知道发脾气解决不了问题，冷冰冰的代码冷冰冰的报错。我气到摔鼠标砸键盘扇自己都有，然后冷静下来继续写hhhh 但是很少真的出现能力范围外的问题，最终困难都能解决。
程序员👨🏻‍💻,哈哈哈自拍奉上！
飞行员 VS 程序员,知道飞行员工资高，却不知道有这么高
女儿在读计算机，以后不做程序员,"现在女生做程序员，还真不一定好。
之前刚入行那会，坊间传闻，会有人手把手教写代码，还有团队以女生比例作为JD的亮点（久远记忆）。
现在广进计划，JD都消失了，同事还巴不得卷不过自己的人被裁掉呢。
太残酷了。"
白人码农星巴克刷题,这个年头程序员面试根本性变味了，面试都是做题目，这些题目在工作中完全用不到，脱离面试的本质。 这种风气什么时候才能消失？
25岁 vs 42岁  Java程序员 vs 外企管理,"🌿🌿职业发展：
25岁：作为一名Java程序员，我刚刚入行，对技术充满热情，每天都在努力学习和提升自己的技能。那时，我在一家初创公司工作，虽然辛苦，但充满成就感。
42岁：如今，我已经成为一名外企管理者，负责带领团队完成项目。我不再专注于技术细节，而是更多地关注团队协作、项目管理和业务发展。在这个阶段，我更加注重沟通和领导力的提升。
🌿🌿生活状态：
25岁：那时的我，生活相对简单。除了工作，就是和朋友们聚会、看电影、逛街。我对未来充满期待，但有时候也会感到迷茫和焦虑。
42岁：如今的我，生活更加稳定。我已经组建了自己的家庭，有了可爱的儿子, 14岁。同时，我也会花时间锻炼身体，保持健康。
🌿🌿心态变化：
25岁：那时的我，年轻气盛，对未来充满信心。但同时，我也会因为工作中的挫折和压力而感到焦虑。我渴望成功，但有时候也会对自己的能力产生怀疑。
42岁：如今的我，心态更加成熟和稳重。我明白了成功并非一蹴而就，而是需要不断积累和努力。面对挫折和压力，我更加从容和冷静。同时，我更加珍惜身边的人和事，学会感恩。
🌿🌿兴趣爱好：
25岁：那时的我，热爱编程，业余时间也会学习一些新技术。此外，我还喜欢看电影、旅行和摄影。
42岁：如今的我，虽然工作繁忙，但仍然保持对编程的兴趣。此外，我还喜欢阅读、瑜伽和参加各种公益活动。
	
🌿🌿🌿🌿总结🌿🌿🌿🌿🌿
从25岁到42岁，我在职业、生活、心态和兴趣爱好等方面都发生了很大的变化。岁月让我更加成熟和稳重，也让我更加珍惜眼前的一切。"
程序员古早梗图！不信你不笑！,"·
太真实了吧
你能get到嘛？
·
﻿"
大厂程序员下班健身打卡nnnnn,"最近一天两练，中午有氧晚上力量，沉淀就完事儿了
	
上周末回了一趟杭州，真的还是蛮喜欢杭州的，所以人啊，真的要学会珍惜所有遇到的人和事
	
程序员·沉淀"
没想到你是这样的程序员,live存在的意义大概就是可以随时随地捕捉我们最真实的一面[doge]
十多年码农，要给ai磕一个了,"这几天在写一个压测程序，前面的框架部分采取的传统做法：一边想一边网上找，然后再改改，半天就跑通后还沾沾自喜。
	
搞了个claude代码辅助插件：从理解我的原始代码(大概5-6个类和文件)，能指出潜在问题，给出修改建议，并且按照新的指令添加功能，总共花费10分钟！！ ps: 测试两次没跑通，还是因为我copy时候看漏了[捂脸R]
	
过去十多年，程序员吃了很多红利，未来走向却不再是岁月静好了。以前牛逼的程序员都爱造轮子，不爱写业务。风水轮流转，轮子ai造，中台算法部分几乎可以全灭了[汗颜R] 写业务的倒反而会慢点被淘汰，但需要更卷了[笑哭R]
	
未来只存在两类程序员了：ai大佬和爱好者。。。中间的部分会被ai大佬用开发的工具或者agent迅速取代！这并不是危言耸听。突然想起一句话：踩死一只蚂蚁与你我何干？！
	
这真是最好的时代，也是最差的时代。"
大厂算法程序员下班沉思录No.1,"几个不同角度的新闻。
	
Oppo放弃哲库科技，3000人团队原地解散。阿里达摩院自动驾驶团队解散。
	
阿里拆分1+6+N。说是为了敏捷组织。但现金奶牛淘宝天猫仍由集团全资控股。
	
23年前2个月亚马逊裁了2.7万，谷歌1.2万，meta和微软各1万。美国科技企业前两个月裁员约8.9万。而去年一年裁了9.7万。
	
滨江新盘枫映华庭57天从拿地到开盘，2天盖一层，一把梭哈全部房源。创历史记录。（之前正常一般拿地到开盘需要1年时间。
	
看这些大公司的行动就能明白。纵观经济史不难发现，企业面对经济xx乃至经济xx的唯一手段，就是剥离非主营业务，降本增效，保留现金。而这些手段正是这些大公司现在在做的事情。
	
所以一个结论很明显但说了会被和谐掉。所以对未来仍需要谨慎。控制消费、保留现金、不盲目负债。等到危机发生、泡沫破灭时，别人被扭曲的资产价格，就是你实现阶级跃迁的最好机会。"
不要轻易重构你的代码，因为…,"写代码又不是造火箭，毕竟，代码和人有一个能跑就行[飞机R]
	
况且，重构之后，可能还是那一坨，只是换个出bug的姿势[爆炸R]
	
[doge][doge][doge]"
程序员很需要一个女人,"我终于懂那句“爱不爱的，上两天班就老实了。”是什么意思了。
爱不爱的，写两百行代码就老实了。
写代码，真的很枯燥无味，很想找个人聊聊，能不能给我来个女人，解解我的空虚之苦。"
来算算你转码成功的概率,"很多同学问我是不是要转码，在美转码成功的概率，如果以在美国上岸为目标的话，
我想了下，大家可以玩个游戏：
	
美本（stem额外+1）       3分
陆本清北                           1分
中等以上的转码项目        2分
有身份                               5分
有大厂码农家属                3分
在美职场人脉                   2分
励志leetcode >800题      5分
国内码农经验 > 3年         3分
职场经验 > 5年                 2分
对继续读博开放                2分
LGBT                                 3分
亚裔男生                          -2分
时代                                  10分
	
[折叠椅R][折叠椅R][折叠椅R]
假设总分10分以上的话，上岸概率较高，
我自己评了一下，
我只有中等以上的转码项目（2），在美职场人脉（2），职场经验 > 5年（2），亚裔男生（-2）
一共就4分，好惨😭
	
[doge][doge][doge]
我还能努力的点：励志leetcode 刷到800题，这样总分9分勉强冲一冲！
其他撞彩票的点，时代如果好了，加十分！那前面的都是浮云了☁️了"
大厂程序媛自救第145天｜感觉自己应激了,"自救失败。
	
今天状态很不好，昨天晚上两点半才睡，早上又很早就醒了，感觉心脏处于一种很难受的状态，像是被压扁了，整个人的精神上也很紧绷，即使我一遍遍地安慰自己，没关系，活干不完就拉倒，没什么大不了的，但是也并不能缓解我身体上的紧张。
	
早上起来状态很差，非常想请假，但是想到请假后活更干不完了，还是去上班了，然后一天神经都是高度紧张的，调需求a的代码，调不通，找下游咨询，等下游回复的空隙里，写需求b的代码，说是在通用的代码上改一改就好，其实原来的代码写的并不通用，改得我头疼，然后时不时被拉上需求c的会，沟通这个需求要怎么做。十点实在撑不住了，下班了。
	
感觉自己最近的状态非常不健康，从身体到精神上，说到底还是躺得不够平，真的想来个破窗效应，直接开摆[笑哭R]
	
今日没CheckList，全是0分"
程序员工作的第一年,发福20斤止都止不住
程序员上班两年对比图,
中国程序员的前途是一片灰暗了。。。,来自知乎答主对中国程序员前途问题的回答。现在公司都要求很高，几个著名外包公司都要求有大厂经历，某头部外包学历要求985，211了。。。其实不光是中国的程序员，国外的朋友也是一样的，究其原因还是全球经济危机对大环境的打击，大家都表示面临失业被裁的风险。
程序员很需要一个女人,"我终于懂那句“爱不爱的，上两天班就老实了。”是什么意思了。
爱不爱的，写两百行代码就老实了。
写代码，真的很枯燥无味，很想找个人聊聊，能不能给我来个女人，解解我的空虚之苦。"
程序员的发量,像我这样的入职了就老实了
廉价程序员纯纯牛马,现在程序员这么廉价了吗[哭惹R]
程序员段子梗图第二弹,
"真相了，北京各行业的真实收入其实是这样的。在头条，在小～书，一般见到的都是年薪百万，或者存款八位数躺平养老的。事实上，大家都真的这么有钱吗？
	
现在大家都学计算机，计算机是个很特殊的专业，上限高但下限也低，年入千万和年入不到五万的同时存在，低收入的还不少，中位数也就年薪30来万，这还是工作多年的有经验的职场人士。
	
外企是很多人羡慕的，要知道外企也分三六九等，好的外企待遇高+WLB，但毕竟少数。大部分外企都入乡随俗了，待遇和工作氛围都日趋“中国化”，还不如一些好的民企。
	
随着人口减少和老龄化日益明","真相了，北京各行业的真实收入其实是这样的。在头条，在小～书，一般见到的都是年薪百万，或者存款八位数躺平养老的。事实上，大家都真的这么有钱吗？
	
现在大家都学计算机，计算机是个很特殊的专业，上限高但下限也低，年入千万和年入不到五万的同时存在，低收入的还不少，中位数也就年薪30来万，这还是工作多年的有经验的职场人士。
	
外企是很多人羡慕的，要知道外企也分三六九等，好的外企待遇高+WLB，但毕竟少数。大部分外企都入乡随俗了，待遇和工作氛围都日趋“中国化”，还不如一些好的民企。
	
随着人口减少和老龄化日益明显，未来蓝领工人的收入会大幅度提高。你想想，你家水管门锁坏了，哪次不是几百起步而且还很难找到合适的人上门？
看的开的父母，已经不卷孩子了，上个普通学校，未来也不会差。"
为什么很多公司都不招大龄码农？,
程序员为啥不一次性写好,
程序员的小手臂,"健身房手臂无氧一小时
工位手臂有氧一晚上"
家境殷实为什么要当程序员？,"最后悔的事就是当了程序员 本人在国内头部大厂和硅谷大厂都当过工程师 从读书到工作身边人都卷王 他们很能吃苦 吃饭都在工位上解决 我真的卷不过
	
我觉得我的中产家境真没必要没苦硬吃，互联网行业卷生卷死，真不懂当时怎么进了这个行业，每天都好累"
一张图告诉你真实的蚂蚁后端程序员男女比例,"这张照片真实反映了我当时所在团队的男女分布情况。细看照片，是不是有一种满满的黑色衣服带来的压迫感[笑哭R][笑哭R]
	
据我所知，阿里及蚂蚁内部所有团队女程序员的比例大概在10%左右，后端研发岗位会显著低于这个比例，常常是好几个团队才会有一个女同学，比如我[暗中观察R]前端研发和测试岗位相对而言能看到更多的小姐姐💃
	
作为团队唯一的女生，工作上遇到问题大家确实都会很nice的一起讨论解决，不过其实他们自己讨论的时候会更加激烈，有时候甚至能看到面红耳赤的讨论技术方案。但是工作成绩上并不会因为性别被特别对待，程序员是个非常公平的行业，大家衡量的标准都是是否具备有价值的产出。
	
平时相处过程中，程序员男同事们其实都非常理性、客观、友善。虽然部分同事性格偏内向，但是总体而言绝对不是大家印象中的nerd形象‼️其实有不少幽默风趣的潮人出没。不得不提一句，《脱口秀大会》里的旁博其实也是程序员出身哦[赞R]
	
另外，其实后面团队加入了其他小姐姐，工作表现很出色！希望以后能看到越老越多优秀的同行小姐姐[加油R]"
壁垒程序员,避雷这个格式的程序员的票，言语侮辱粉丝高价出票，把买票的粉丝当圈钱的工具还辱骂，尹净汉腿伤休息期间阴阳买了前排的粉丝，辱骂伯贤在演唱会上关于黄牛票的发言。原价550的票卖3w8还要榨干粉丝的钱包，再有钱的富婆粉丝也别给这种人送钱吧。[微笑]
程序员搞笑的事?,程序员搞笑的事?
轻井泽程序员 现身说法 我好像被骚扰了,
【大厂女程序员的周末】偷感很重的学习,"周末偷偷学习DDD
这周又有同事被广进了，压力又来咯[哭惹R][哭惹R]
不得不说，大厂的业务真的是太复杂了，面向对象，设计模式感觉都不够用了，已经开始学习领域驱动设计了⛽️⛽️"
中科院｜🧑‍💻程序员中的发量王者🫅,"众所周知，程序员身上最贵的单品是头上的植发，但是没办法，本发量王者代码写的怎么样不知道🧑‍💻，但是头发长的是真好，每次去剪头发都要被夸头发长得好，而且每次都要打薄💇（今天去剪头发，理发师不只打薄了头发，还说我衣服好看要链接🔗没办法了，只能办卡了💳🤪）
PS：我觉得P4的穿搭也不错👍"
00 女程序员的一天,完成部分工作内容开心开心～[礼物R]
屌丝程序媛的美丽瞬间,今天翻到几张库存，原图直出，年度最佳。
想问问大家程序员都这样忙吗,天天加班到11点，就连周末还一直加班，关键加班还没加班费，想请问程序员都是这样吗
今天又是程序员最爱的格子衫[自拍R],今天又是程序员最爱的格子衫[自拍R]
程序员哥股市脱口秀,程序员哥股市脱口秀第一期，你看我能上你们节目吗？李诞哥。
为什么抽烟的程序员越来越少？,"本人2004年大学毕业，在2004年到2011年这段时间所经历的公司，程序员80%都是烟民，一说要抽烟，都是成群结队的在楼梯口聚集，装烟头都是用桶装。2011年至2020年这段时间所经历的公司，抽烟的程序员越来越少，不到10%，甚至大部分都是烟酒不沾，难道是以前的程序员压力太大？还是现在的程序员太轻松？
像老一辈的程序员90%都是资深烟民，例如：雷军、求伯君、马化腾、史玉柱...
欢迎广大网友留言说说你认为现在的程序员抽烟的越来越少的原因是什么？"
